iter	Passed	Remaining
404	6733	1579
405	6747	1562
406	6765	1545
407	6780	1528
408	6794	1511
409	6810	1494
410	6831	1479
411	6848	1462
412	6864	1446
413	6884	1430
414	6905	1414
415	6920	1397
416	6939	1381
417	6957	1364
418	6973	1348
419	6992	1331
420	7010	1315
421	7027	1298
422	7047	1282
423	7066	1266
424	7081	1249
425	7097	1232
426	7118	1216
427	7134	1200
428	7153	1183
429	7169	1167
430	7188	1150
431	7204	1133
432	7219	1117
433	7234	1100
434	7250	1083
435	7264	1066
436	7280	1049
437	7297	1032
438	7310	1015
439	7325	998
440	7338	981
441	7356	965
442	7370	948
443	7384	931
444	7400	914
445	7415	897
446	7429	880
447	7444	864
448	7463	847
449	7479	831
450	7494	814
451	7510	797
452	7529	781
453	7552	765
454	7574	749
455	7596	732
456	7617	716
457	7651	701
458	7671	685
459	7693	668
460	7711	652
461	7734	636
462	7757	619
463	7790	604
464	7810	587
465	7826	571
466	7841	554
467	7855	537
468	7870	520
469	7886	503
470	7901	486
471	7915	469
472	7929	452
473	7944	435
474	7959	418
475	7973	402
476	7988	385
477	8002	368
478	8017	351
479	8032	334
480	8046	317
481	8061	301
482	8075	284
483	8091	267
484	8106	250
485	8121	233
486	8137	217
487	8151	200
488	8166	183
489	8179	166
490	8194	150
491	8208	133
492	8223	116
493	8237	100
494	8251	83
495	8265	66
496	8280	49
497	8296	33
498	8310	16
499	8325	0
