iter	MultiClass
276	0.3581972075
277	0.357315969
278	0.3563151842
279	0.3553618893
280	0.3545641004
281	0.3540536617
282	0.3527041331
283	0.3517563676
284	0.3513358814
285	0.3501661522
286	0.3493157653
287	0.3487856051
288	0.3480884976
289	0.3472076864
290	0.3461860026
291	0.3455841294
292	0.3443057798
293	0.3432670849
294	0.342671469
295	0.3418632061
296	0.341237336
297	0.3399798127
298	0.3391188458
299	0.3384101926
300	0.3371687615
301	0.336223241
302	0.3356995308
303	0.3346480327
304	0.3334769843
305	0.3328026751
306	0.3320997086
307	0.3313551072
308	0.3306430921
309	0.3295858962
310	0.3289249804
311	0.3283255057
312	0.3277695287
313	0.3267001477
314	0.3256405358
315	0.3250155223
316	0.3244096863
317	0.3238603814
318	0.3226639878
319	0.3219965358
320	0.321098648
321	0.3205105215
322	0.3197535929
323	0.3191437563
324	0.318773436
325	0.3180861785
326	0.3172156306
327	0.3165371636
328	0.3156915409
329	0.3151810365
330	0.3144065033
331	0.3136161619
332	0.3130857487
333	0.3120407918
334	0.3115094809
335	0.3111117122
336	0.3104121176
337	0.3097807642
338	0.3092639692
339	0.3085679301
340	0.3081224812
341	0.3073662951
342	0.3070763741
343	0.3062529226
344	0.3055056509
345	0.3048147771
346	0.3035879543
347	0.3028020825
348	0.3018042229
349	0.3012567788
350	0.3005178937
351	0.299984847
352	0.2988641077
353	0.298421319
354	0.2977687003
355	0.2971191951
356	0.2960827666
357	0.2950049114
358	0.2942938112
359	0.2938727871
360	0.2931380452
361	0.2926385699
362	0.2920464627
363	0.2914755744
364	0.2909396844
365	0.2902272382
366	0.2897757468
367	0.2892759207
368	0.2884800501
369	0.2879328895
370	0.287194913
371	0.2864112959
372	0.2858097206
373	0.2853654019
374	0.2845644145
375	0.2838339807
376	0.2831839622
377	0.2825387511
378	0.2816402589
379	0.2809303628
380	0.2801389259
381	0.2796948175
382	0.2791673571
383	0.2786587586
384	0.2778224346
385	0.2775363039
386	0.2766842351
387	0.2763602598
388	0.2755340873
389	0.2751370426
390	0.2745366107
391	0.2736374369
392	0.2728916735
393	0.2721456094
394	0.2715703089
395	0.2711745186
396	0.2704227974
397	0.269962981
398	0.2695483186
399	0.2689373974
400	0.2687313432
401	0.2683351932
402	0.2676461963
403	0.2672418341
404	0.2668822411
405	0.2663199277
406	0.2656615915
407	0.2651998981
408	0.2648763608
409	0.2641997885
410	0.2635855284
411	0.2631770815
412	0.2626972207
413	0.2620723581
414	0.261651629
415	0.2612119883
416	0.2605543562
417	0.2600384381
418	0.2596453152
419	0.2593052164
420	0.2583664677
421	0.2576760687
422	0.2570641982
423	0.2564323876
424	0.2560980952
425	0.2555134388
426	0.255052311
427	0.2547282057
428	0.2541000062
429	0.2534928913
430	0.252817594
431	0.2521799399
432	0.2516149506
433	0.2511537697
434	0.2508212698
435	0.250440228
436	0.2499621705
437	0.2494546783
438	0.2490446404
439	0.2484095778
440	0.2481205241
441	0.2476062686
442	0.2472271377
443	0.2467921376
444	0.2464850256
445	0.2458917286
446	0.2451253299
447	0.2447329831
448	0.2443503317
449	0.2435825217
450	0.243170828
451	0.2424616101
452	0.2419370062
453	0.2415191889
454	0.2409885495
455	0.2406356252
456	0.2400206643
457	0.2398679916
458	0.2394946415
459	0.238997747
460	0.2385565572
461	0.2380966067
462	0.2378769931
463	0.2375312539
464	0.2371634491
465	0.2367179957
466	0.2361205214
467	0.2355491105
468	0.2351350338
469	0.2345640146
470	0.2338190459
471	0.2336696721
472	0.2331958065
473	0.2327911307
474	0.2321148415
475	0.231660982
476	0.2313484169
477	0.2307554952
478	0.230475048
479	0.2299753156
480	0.2294752198
481	0.229061981
482	0.2285334364
483	0.2280745816
484	0.2276314134
485	0.2272100478
486	0.2269304872
487	0.2266670535
488	0.2262139069
489	0.225883541
490	0.2254563245
491	0.2250960104
492	0.2244211946
493	0.224006634
494	0.2237080893
495	0.2233083258
496	0.2230694539
497	0.2226758706
498	0.2222114911
499	0.2217225661
